MCGS_Time,oxygen concentration: % vol
2020/9/16 14:40,21.1417
2020/9/16 14:45,21.1509
2020/9/16 14:50,21.1417
2020/9/16 14:55,21.1509
2020/9/16 15:00,21.1417
2020/9/16 15:05,21.1509
2020/9/16 15:10,21.1417
2020/9/16 15:15,21.1417
2020/9/16 15:20,21.1509
2020/9/16 15:25,21.1417
2020/9/16 15:30,21.1509
2020/9/16 15:35,21.1417
2020/9/16 15:40,21.1417
2020/9/16 15:45,21.0496
2020/9/16 15:50,21.0404
2020/9/16 15:55,21.0404
2020/9/16 16:00,21.0496
2020/9/16 16:05,21.0404
2020/9/16 16:10,21.0496
2020/9/16 16:15,21.0404
2020/9/16 16:20,21.0404
2020/9/16 16:25,21.0404
2020/9/16 16:30,21.0496
2020/9/16 16:35,21.0496
2020/9/16 16:40,21.0404
2020/9/16 16:45,21.0404
2020/9/16 16:50,21.0036
2020/9/16 16:55,20.9391
2020/9/16 17:00,20.9299
2020/9/16 17:05,20.9299
2020/9/16 17:10,20.9391
2020/9/16 17:15,20.9299
2020/9/16 17:20,20.9391
2020/9/16 17:25,20.9299
2020/9/16 17:30,20.9299
2020/9/16 17:35,20.9391
2020/9/16 17:40,20.9391
2020/9/16 17:45,20.9391
2020/9/16 17:50,20.9299
2020/9/16 17:55,20.9391
2020/9/16 18:00,20.9391
2020/9/16 18:05,20.9391
2020/9/16 18:10,20.9391
2020/9/16 18:15,20.9391
2020/9/16 18:20,20.9483
2020/9/16 18:25,20.9391
2020/9/16 18:30,20.9483
2020/9/16 18:35,20.9391
2020/9/16 18:40,20.9483
2020/9/16 18:45,20.9483
2020/9/16 18:50,20.9391
2020/9/16 18:55,20.847
2020/9/16 19:00,20.8377
2020/9/16 19:05,20.8377
2020/9/16 19:10,20.8377
2020/9/16 19:15,20.8377
2020/9/16 19:20,20.847
2020/9/16 19:25,20.8377
2020/9/16 19:30,20.847
2020/9/16 19:35,20.8377
2020/9/16 19:40,20.847
2020/9/16 19:45,20.8377
2020/9/16 19:50,20.8377
2020/9/16 19:55,20.847
2020/9/16 20:00,20.8377
2020/9/16 20:05,20.847
2020/9/16 20:10,20.847
2020/9/16 20:15,20.847
2020/9/16 20:20,20.847
2020/9/16 20:25,20.847
2020/9/16 20:30,20.847
2020/9/16 20:35,20.847
2020/9/16 20:40,20.847
2020/9/16 20:45,20.8377
2020/9/16 20:50,20.847
2020/9/16 20:55,20.847
2020/9/16 21:00,20.847
2020/9/16 21:05,20.8377
2020/9/16 21:10,20.847
2020/9/16 21:15,20.847
2020/9/16 21:20,20.847
2020/9/16 21:25,20.847
2020/9/16 21:30,20.847
2020/9/16 21:35,20.847
2020/9/16 21:40,20.847
2020/9/16 21:45,20.7917
2020/9/16 21:50,20.764
2020/9/16 21:55,20.7548
2020/9/16 22:00,20.764
2020/9/16 22:05,20.7548
2020/9/16 22:10,20.7548
2020/9/16 22:15,20.7548
2020/9/16 22:20,20.7548
2020/9/16 22:25,20.7548
2020/9/16 22:30,20.7548
2020/9/16 22:35,20.7548
2020/9/16 22:40,20.764
2020/9/16 22:45,20.7548
2020/9/16 22:50,20.7548
2020/9/16 22:55,20.764
2020/9/16 23:00,20.7548
2020/9/16 23:05,20.7548
2020/9/16 23:10,20.764
2020/9/16 23:15,20.7548
2020/9/16 23:20,20.764
2020/9/16 23:25,20.7548
2020/9/16 23:30,20.7548
2020/9/16 23:35,20.7548
2020/9/16 23:40,20.7548
2020/9/16 23:45,20.764
2020/9/16 23:50,20.7548
2020/9/16 23:55,20.7548
2020/9/17 0:00,20.764
2020/9/17 0:05,20.7548
2020/9/17 0:10,20.7548
2020/9/17 0:15,20.7548
2020/9/17 0:20,20.7548
2020/9/17 0:25,20.7548
2020/9/17 0:30,20.764
2020/9/17 0:35,20.764
2020/9/17 0:40,20.6535
2020/9/17 0:45,20.6627
2020/9/17 0:50,20.6535
2020/9/17 0:55,20.6627
2020/9/17 1:00,20.6627
2020/9/17 1:05,20.6627
2020/9/17 1:10,20.6535
2020/9/17 1:15,20.6535
2020/9/17 1:20,20.6535
2020/9/17 1:25,20.6627
2020/9/17 1:30,20.6627
2020/9/17 1:35,20.6627
2020/9/17 1:40,20.6627
2020/9/17 1:45,20.6627
2020/9/17 1:50,20.6627
2020/9/17 1:55,20.6627
2020/9/17 2:00,20.6627
2020/9/17 2:05,20.5522
2020/9/17 2:10,20.5614
2020/9/17 2:15,20.5614
2020/9/17 2:20,20.5614
2020/9/17 2:25,20.5614
2020/9/17 2:30,20.5614
2020/9/17 2:35,20.5522
2020/9/17 2:40,20.5614
2020/9/17 2:45,20.5614
2020/9/17 2:50,20.5706
2020/9/17 2:55,20.5614
2020/9/17 3:00,20.5614
2020/9/17 3:05,20.5614
2020/9/17 3:10,20.5522
2020/9/17 3:15,20.5614
2020/9/17 3:20,20.5614
2020/9/17 3:25,20.5614
2020/9/17 3:30,20.5706
2020/9/17 3:35,20.5614
2020/9/17 3:40,20.5706
2020/9/17 3:45,20.5614
2020/9/17 3:50,20.5614
2020/9/17 3:55,20.5337
2020/9/17 4:00,20.5614
2020/9/17 4:05,20.5706
2020/9/17 4:10,20.5706
2020/9/17 4:15,20.5614
2020/9/17 4:20,20.5614
2020/9/17 4:25,20.5614
