MCGS_Time,oxygen concentration: % vol
2020/5/21 14:42,20.9391
2020/5/21 14:47,20.9391
2020/5/21 14:52,20.9299
2020/5/21 14:57,20.9391
2020/5/21 15:02,20.9299
2020/5/21 15:07,20.9391
2020/5/21 15:12,20.9299
2020/5/21 15:17,20.8746
2020/5/21 15:22,20.8377
2020/5/21 15:27,20.8377
2020/5/21 15:32,20.8377
2020/5/21 15:37,20.8377
2020/5/21 15:42,20.8377
2020/5/21 15:47,20.8377
2020/5/21 15:52,20.8377
2020/5/21 15:57,20.847
2020/5/21 16:02,20.8377
2020/5/21 16:07,20.8377
2020/5/21 16:12,20.8193
2020/5/21 16:17,20.7733
2020/5/21 16:22,20.7733
2020/5/21 16:27,20.7272
2020/5/21 16:32,20.6166
2020/5/21 16:37,20.6259
2020/5/21 16:42,20.5245
2020/5/21 16:47,20.6443
2020/5/21 16:52,20.5798
2020/5/21 16:57,20.543
2020/5/21 17:02,20.5522
2020/5/21 17:07,20.5982
2020/5/21 17:12,20.543
2020/5/21 17:17,20.5337
2020/5/21 17:22,20.5245
2020/5/21 17:27,20.5337
2020/5/21 17:32,20.5337
2020/5/21 17:37,20.5982
2020/5/21 17:42,20.543
2020/5/21 17:47,20.5614
2020/5/21 17:52,20.5982
2020/5/21 17:57,20.589
2020/5/21 18:02,20.543
2020/5/21 18:07,20.6627
2020/5/21 18:12,20.6443
2020/5/21 18:17,20.5522
2020/5/21 18:22,20.5614
2020/5/21 18:27,20.6903
2020/5/21 18:32,20.543
2020/5/21 18:37,20.543
2020/5/21 18:42,20.543
2020/5/21 18:47,20.6719
2020/5/21 18:52,20.6903
2020/5/21 18:57,20.6627
2020/5/21 19:02,20.6166
2020/5/21 19:07,20.6627
2020/5/21 19:12,20.6903
2020/5/21 19:17,20.6811
2020/5/21 19:22,20.6627
2020/5/21 19:27,20.6259
2020/5/21 19:32,20.6719
2020/5/21 19:37,20.5337
2020/5/21 19:42,20.5798
2020/5/21 19:47,20.6719
2020/5/21 19:52,20.5522
2020/5/21 19:57,20.543
2020/5/21 20:02,20.5337
2020/5/21 20:07,20.543
2020/5/21 20:12,20.5798
2020/5/21 20:17,20.543
2020/5/21 20:22,20.543
2020/5/21 20:27,20.5706
